num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
3500,2021,15,21,4,3,4,4,5,506,1,99,1,30,5,5,7,9,1,4,39,5,9999,99,1
3501,2021,15,21,4,3,4,4,5,506,1,99,1,36,6,6,8,9,1,4,27,2,9999,99,1
3502,2021,15,16,3,2,4,4,5,501,99,99,1,55,10,10,12,9,1,5,74,2,2007,4,2
3503,2021,15,23,4,3,4,4,10,1003,99,99,1,21,3,3,5,9,1,4,3,3,9999,99,1
3504,2021,15,23,4,3,4,4,10,1003,99,99,1,999,16,12,18,9,9,2,69,10,9999,99,1
3505,2021,15,21,4,3,4,4,8,801,4,99,1,34,5,5,7,9,1,1,61,11,9999,99,1
3506,2021,15,21,4,3,4,4,8,801,4,99,1,999,16,12,18,9,9,2,41,4,9999,99,1
3507,2021,15,20,4,3,4,4,15,1502,99,99,1,18,2,2,4,9,1,4,6,1,9999,99,6
3508,2021,15,0,1,1,4,4,17,1704,99,99,1,21,3,3,5,9,1,4,2,2,2019,5,6
3509,2021,15,11,2,1,4,4,14,1420,99,99,1,22,3,3,5,9,1,2,48,4,9999,99,3
3510,2021,15,23,4,3,4,4,19,1901,99,99,1,28,4,4,6,2,1,4,18,5,2019,5,1
3511,2021,15,23,4,3,4,4,19,1901,99,99,2,21,3,3,5,9,1,4,32,5,2020,6,1
3512,2021,16,2,1,1,4,5,1,101,1,1,1,34,5,5,7,9,1,6,30,2,2012,5,1
3513,2021,16,2,1,1,4,5,1,101,1,1,1,30,5,5,7,2,1,4,100,5,2019,5,1
3514,2021,16,21,4,3,4,5,1,101,17,17,1,29,4,4,6,9,1,4,76,2,2018,5,6
3515,2021,16,8,2,1,4,5,1,101,13,13,1,45,8,8,10,9,1,1,69,4,2001,4,1
3516,2021,16,8,2,1,4,5,1,101,13,13,1,25,4,4,6,9,1,4,76,3,2008,4,1
3517,2021,16,18,4,3,4,5,1,101,15,15,2,28,4,4,6,9,1,4,999,99,9999,99,2
3518,2021,16,18,4,3,4,5,1,101,15,15,9,999,16,12,18,9,9,1,999,99,9999,99,2
3519,2021,16,22,4,3,4,5,1,102,99,99,2,48,8,8,10,9,1,1,8,2,2007,4,1
3520,2021,16,22,4,3,4,5,1,102,99,99,1,999,16,12,18,9,9,4,20,1,9999,99,1
3521,2021,16,7,2,1,4,5,1,101,12,12,1,35,6,6,8,9,1,1,41,1,2014,5,1
3522,2021,16,7,2,1,4,5,1,101,12,12,1,25,4,4,6,9,1,4,18,4,2018,5,1
3523,2021,16,0,1,1,4,5,1,115,4,99,1,31,5,5,7,2,1,1,27,9,9999,99,2
3524,2021,16,7,2,1,4,5,1,115,1,99,1,29,4,4,6,9,1,4,67,1,9999,99,6
3525,2021,16,21,4,3,4,5,1,116,1,99,1,20,3,3,5,9,1,4,2,5,9999,99,6
3526,2021,16,21,4,3,4,5,1,114,99,99,1,21,3,3,5,9,1,4,999,99,9999,99,2
3527,2021,16,21,4,3,4,5,1,115,5,99,1,35,6,6,8,9,1,1,48,4,2012,5,1
3528,2021,16,21,4,3,4,5,1,115,5,99,1,30,5,5,7,9,1,4,6,5,2015,5,1
3529,2021,16,12,3,2,4,5,1,108,8,99,1,24,3,3,5,9,1,1,999,99,9999,99,1
3530,2021,16,12,3,2,4,5,1,108,8,99,1,37,6,6,8,9,1,4,999,99,9999,99,1
3531,2021,16,23,4,3,4,5,22,2203,99,99,1,30,5,5,7,1,1,3,69,2,2018,5,1
3532,2021,16,23,4,3,4,5,22,2203,99,99,1,999,16,12,18,9,9,4,999,99,9999,99,1
3533,2021,16,21,4,3,4,5,20,2007,99,99,1,46,8,8,10,2,1,1,73,2,2011,5,1
3534,2021,16,21,4,3,4,5,20,2007,99,99,1,35,6,6,8,9,1,4,3,1,9999,99,1
3535,2021,16,20,4,3,4,5,19,1905,99,99,2,48,8,8,10,9,1,2,34,3,2002,4,1
3536,2021,16,20,4,3,4,5,19,1905,99,99,2,24,3,3,5,9,1,4,3,3,2019,5,1
3537,2021,16,19,4,3,4,5,5,501,99,99,1,21,3,3,5,9,1,4,3,5,2015,5,1
3538,2021,16,19,4,3,4,5,5,501,99,99,1,999,16,12,18,9,9,4,999,99,9999,99,1
3539,2021,16,23,4,3,4,5,5,502,99,99,1,29,4,4,6,9,1,4,87,2,9999,99,1
3540,2021,16,23,4,3,4,5,5,502,99,99,9,999,16,12,18,9,9,1,999,99,9999,99,1
3541,2021,16,18,4,3,4,5,6,602,99,99,1,33,5,5,7,9,1,14,6,1,9999,99,1
3542,2021,16,18,4,3,4,5,6,602,99,99,2,63,11,11,13,1,1,2,69,3,9999,99,1
3543,2021,16,22,4,3,4,5,9,901,2,99,9,999,16,12,18,9,9,3,69,1,1985,2,1
3544,2021,16,22,4,3,4,5,9,901,2,99,1,26,4,4,6,9,1,1,73,99,9999,99,1
3545,2021,16,19,4,3,4,5,12,1202,99,99,1,23,3,3,5,2,1,4,18,5,2018,5,1
3546,2021,16,19,4,3,4,5,12,1202,99,99,1,42,7,7,9,1,1,1,67,11,2007,4,1
3547,2021,16,15,3,2,4,5,13,1301,99,99,1,999,16,12,18,9,9,5,999,99,9999,99,1
3548,2021,16,15,3,2,4,5,13,1301,99,99,1,27,4,4,6,9,1,2,69,5,9999,99,1
3549,2021,16,17,3,2,4,5,8,802,99,99,1,43,7,7,9,1,1,6,30,2,2008,4,1
3550,2021,16,17,3,2,4,5,8,802,99,99,1,26,4,4,6,9,1,4,6,4,2021,6,1
3551,2021,16,19,4,3,4,5,15,1503,99,99,1,36,6,6,8,9,1,4,67,5,9999,99,1
3552,2021,16,19,4,3,4,5,15,1503,99,99,1,24,3,3,5,9,1,4,67,5,9999,99,1
3553,2021,16,18,4,3,4,5,17,1704,99,99,1,46,8,8,10,9,1,2,28,2,2005,4,2
3554,2021,16,10,2,1,4,5,7,704,99,99,1,23,3,3,5,9,1,3,69,2,9999,99,1
3555,2021,16,10,2,1,4,5,7,704,99,99,1,28,4,4,6,9,1,9,69,4,9999,99,1
3556,2021,16,8,2,1,4,5,4,401,1,99,1,30,5,5,7,1,1,12,30,7,9999,99,1
3557,2021,16,8,2,1,4,5,4,401,1,99,9,999,16,12,18,9,9,12,999,99,9999,99,1
3558,2021,17,16,3,2,4,6,1,101,2,2,1,21,3,3,5,1,1,1,48,4,1999,3,1
3559,2021,17,16,3,2,4,6,1,101,2,2,1,42,7,7,9,2,1,4,27,5,9999,99,1
3560,2021,17,23,4,3,4,6,1,101,1,1,2,23,3,3,5,1,1,2,69,4,2014,5,1
3561,2021,17,23,4,3,4,6,1,101,1,1,1,31,5,5,7,2,1,4,76,5,2021,6,1
3562,2021,17,3,1,1,4,6,1,101,18,18,1,27,4,4,6,9,1,4,67,5,2020,6,6
3563,2021,17,5,1,1,4,6,1,107,99,99,1,38,6,6,8,9,1,4,6,5,2013,5,6
3564,2021,17,15,3,2,4,6,1,102,99,99,1,30,5,5,7,9,1,1,73,4,9999,99,2
3565,2021,17,15,3,2,4,6,1,101,15,15,1,26,4,4,6,9,1,1,48,4,2003,4,1
3566,2021,17,15,3,2,4,6,1,101,15,15,1,999,16,12,18,9,9,1,28,2,2017,5,1
3567,2021,17,11,2,1,4,6,1,101,5,5,1,27,4,4,6,9,1,4,18,1,9999,99,1
3568,2021,17,11,2,1,4,6,1,101,5,5,9,999,16,12,18,9,9,1,999,5,9999,99,1
3569,2021,17,7,2,1,4,6,1,101,7,7,1,34,5,5,7,9,1,4,6,5,2018,5,1
3570,2021,17,7,2,1,4,6,1,101,7,7,1,52,9,9,11,9,1,2,69,4,2006,4,1
3571,2021,17,12,3,2,4,6,1,115,1,99,1,22,3,3,5,9,1,4,6,2,9999,99,1
3572,2021,17,12,3,2,4,6,1,115,1,99,9,999,16,12,18,9,9,2,27,99,9999,99,1
3573,2021,17,15,3,2,4,6,1,116,99,99,1,20,3,3,5,9,1,4,6,5,9999,99,6
3574,2021,17,18,4,3,4,6,1,117,7,99,1,27,4,4,6,1,1,4,67,99,2013,5,1
3575,2021,17,18,4,3,4,6,1,117,7,99,1,35,6,6,8,9,1,4,27,5,2013,5,1
3576,2021,17,15,3,2,4,6,21,2101,99,99,1,39,6,6,8,9,1,2,41,5,9999,99,1
3577,2021,17,15,3,2,4,6,21,2101,99,99,2,29,4,4,6,9,1,1,27,4,2007,4,1
3578,2021,17,17,3,2,4,6,19,1902,99,99,1,40,7,7,9,9,1,11,69,2,9999,99,1
3579,2021,17,17,3,2,4,6,19,1902,99,99,1,20,3,3,5,9,1,1,56,1,1988,2,1
3580,2021,17,1,1,1,4,6,5,509,99,99,1,999,16,12,18,9,9,2,41,2,9999,99,2
3581,2021,17,18,4,3,4,6,5,501,99,99,1,48,8,8,10,1,1,1,56,5,2009,4,1
3582,2021,17,18,4,3,4,6,5,501,99,99,1,33,5,5,7,9,1,4,76,3,2020,6,1
3583,2021,17,12,3,2,4,6,6,613,99,99,1,22,3,3,5,9,1,22,18,99,2010,5,6
3584,2021,17,20,4,3,4,6,6,614,99,99,1,50,9,9,11,2,1,3,999,6,9999,99,1
3585,2021,17,20,4,3,4,6,6,614,99,99,1,22,3,3,5,9,1,9,56,2,9999,99,1
3586,2021,17,12,3,2,4,6,11,1101,4,99,1,28,4,4,6,9,1,14,6,1,9999,99,1
3587,2021,17,12,3,2,4,6,11,1101,4,99,2,13,1,1,3,9,2,14,6,1,9999,99,1
3588,2021,17,18,4,3,4,6,13,1301,10,99,2,25,4,4,6,9,1,2,27,3,2007,4,1
3589,2021,17,18,4,3,4,6,13,1301,10,99,1,23,3,3,5,9,1,4,999,1,9999,99,1
3590,2021,17,17,3,2,4,6,16,1604,99,99,2,43,7,7,9,2,1,2,41,2,9999,99,2
3591,2021,17,0,1,1,4,6,16,1615,99,99,1,29,4,4,6,9,1,4,67,5,9999,99,6
3592,2021,17,18,4,3,4,6,2,208,99,99,1,57,10,10,12,1,1,5,17,7,1994,3,1
3593,2021,17,18,4,3,4,6,2,208,99,99,1,33,5,5,7,1,1,14,6,1,2018,5,1
3594,2021,17,18,4,3,4,6,7,710,99,99,1,46,8,8,10,9,1,1,28,2,2009,4,1
3595,2021,17,18,4,3,4,6,7,710,99,99,1,24,3,3,5,9,1,4,999,99,9999,99,1
3596,2021,17,21,4,3,4,6,4,413,99,99,9,999,16,12,18,9,9,1,27,3,1998,3,3
3597,2021,17,15,3,2,4,6,3,301,99,99,1,27,4,4,6,9,1,4,18,5,9999,99,1
3598,2021,17,15,3,2,4,6,3,301,99,99,1,22,3,3,5,9,1,4,999,1,9999,99,1
3599,2021,17,22,4,3,4,6,1,101,21,21,1,20,3,3,5,9,1,4,67,4,9999,99,6
3600,2021,18,21,4,3,4,7,1,101,6,6,1,22,3,3,5,9,1,1,48,1,2002,4,1
3601,2021,18,21,4,3,4,7,1,101,6,6,1,23,3,3,5,9,1,1,48,5,1991,3,1
3602,2021,18,0,1,1,4,7,1,101,18,18,1,25,4,4,6,2,1,4,999,99,9999,99,1
3603,2021,18,0,1,1,4,7,1,101,18,18,1,28,4,4,6,9,1,4,999,99,9999,99,1
3604,2021,18,21,4,3,4,7,1,101,6,6,1,35,6,6,8,9,1,1,67,4,2019,5,1
3605,2021,18,21,4,3,4,7,1,101,6,6,1,29,4,4,6,9,1,4,3,5,2019,5,1
3606,2021,18,0,1,1,4,7,1,101,12,12,1,20,3,3,5,9,1,1,10,4,9999,99,2
3607,2021,18,16,3,2,4,7,1,101,11,11,1,30,5,5,7,9,1,2,41,5,1998,3,1
3608,2021,18,16,3,2,4,7,1,101,11,11,1,999,16,12,18,9,9,1,41,5,1998,3,1
3609,2021,18,14,3,2,4,7,1,115,4,99,9,999,16,12,18,9,9,1,999,99,9999,99,1
3610,2021,18,14,3,2,4,7,1,115,4,99,1,31,5,5,7,9,1,4,999,99,9999,99,1
3611,2021,18,21,4,3,4,7,1,116,2,99,1,29,4,4,6,9,1,2,28,4,2001,4,1
3612,2021,18,21,4,3,4,7,1,116,2,99,1,29,4,4,6,9,1,4,3,5,2019,5,1
3613,2021,18,22,4,3,4,7,1,108,8,99,1,22,3,3,5,2,1,4,6,4,2020,6,1
3614,2021,18,22,4,3,4,7,1,108,8,99,1,24,3,3,5,9,1,4,27,2,2018,5,1
3615,2021,18,20,4,3,4,7,1,110,99,99,1,29,4,4,6,9,1,4,6,1,2007,4,6
3616,2021,18,20,4,3,4,7,1,110,99,99,1,42,7,7,9,9,1,4,999,99,9999,99,6
3617,2021,18,2,1,1,4,7,20,2001,99,99,1,26,4,4,6,9,1,5,10,2,9999,99,1
3618,2021,18,2,1,1,4,7,20,2001,99,99,1,34,5,5,7,2,1,2,41,5,9999,99,1
3619,2021,18,19,4,3,4,7,19,1906,99,99,1,39,6,6,8,9,1,6,19,99,9999,99,2
3620,2021,18,16,3,2,4,7,11,1106,99,99,1,22,3,3,5,9,1,1,69,9,9999,99,1
3621,2021,18,16,3,2,4,7,11,1106,99,99,1,39,6,6,8,9,1,4,27,99,9999,99,1
3622,2021,18,0,1,1,4,7,12,1218,99,99,1,32,5,5,7,9,1,4,999,99,9999,99,1
3623,2021,18,0,1,1,4,7,12,1218,99,99,1,18,2,2,4,9,1,4,999,99,9999,99,1
3624,2021,18,22,4,3,4,7,2,201,99,99,2,19,2,2,4,9,1,2,48,4,2008,4,1
3625,2021,18,22,4,3,4,7,2,201,99,99,1,24,3,3,5,9,1,4,999,5,9999,99,1
3626,2021,18,0,1,1,4,7,18,1805,99,99,1,55,10,10,12,9,1,6,999,5,2008,4,1
3627,2021,18,0,1,1,4,7,18,1805,99,99,1,34,5,5,7,9,1,2,47,5,2017,5,1
3628,2021,18,0,1,1,4,7,18,1805,99,99,1,27,4,4,6,9,1,3,73,4,2019,5,1
3629,2021,18,19,4,3,4,7,14,1401,99,99,1,60,11,11,13,2,1,3,69,6,9999,99,1
3630,2021,18,19,4,3,4,7,14,1401,99,99,1,21,3,3,5,9,1,4,999,4,9999,99,1
3631,2021,18,19,4,3,4,7,4,415,99,99,1,43,7,7,9,9,1,2,10,4,2005,4,1
3632,2021,18,19,4,3,4,7,4,415,99,99,1,40,7,7,9,9,1,4,67,5,9999,99,1
3633,2021,19,21,4,3,4,1,1,101,12,12,1,24,3,3,5,9,1,3,999,99,9999,99,1
3634,2021,19,21,4,3,4,1,1,101,12,12,1,34,5,5,7,9,1,11,999,99,9999,99,1
3635,2021,19,3,1,1,4,1,1,115,3,99,1,20,3,3,5,9,1,4,100,3,2019,5,6
3636,2021,19,4,1,1,4,1,1,108,3,99,2,22,3,3,5,9,1,2,100,99,9999,99,2
3637,2021,19,7,2,1,4,1,1,109,99,99,1,28,4,4,6,9,1,4,3,2,9999,99,1
3638,2021,19,7,2,1,4,1,1,109,99,99,1,28,4,4,6,9,1,12,19,99,2002,4,1
3639,2021,19,16,3,2,4,1,1,108,7,99,1,74,13,11,15,9,1,9,31,4,1997,3,1
3640,2021,19,16,3,2,4,1,1,108,7,99,1,23,3,3,5,9,1,4,32,5,9999,99,1
3641,2021,19,15,3,2,4,1,20,2009,99,99,1,32,5,5,7,9,1,5,999,99,9999,99,3
3642,2021,19,7,2,1,4,1,5,512,99,99,1,44,7,7,9,9,1,3,69,3,1988,2,1
3643,2021,19,7,2,1,4,1,5,512,99,99,1,43,7,7,9,2,1,2,999,5,2007,4,1
3644,2021,19,16,3,2,4,1,5,502,99,99,9,999,16,12,18,9,9,12,49,11,1976,1,2
3645,2021,19,19,4,3,4,1,5,502,99,99,1,50,9,9,11,9,1,4,67,5,9999,99,6
3646,2021,19,5,1,1,4,1,5,506,99,99,1,43,7,7,9,9,1,4,6,1,2011,5,2
3647,2021,19,9,2,1,4,1,6,608,99,99,1,51,9,9,11,9,1,3,69,3,1986,2,1
3648,2021,19,9,2,1,4,1,6,608,99,99,1,34,5,5,7,9,1,2,27,4,2002,4,1
3649,2021,19,13,3,2,4,1,9,920,99,99,1,67,12,11,14,9,1,1,69,4,1999,3,1
3650,2021,19,13,3,2,4,1,9,920,99,99,1,67,12,11,14,9,1,4,64,2,9999,99,1
3651,2021,19,0,1,1,4,1,12,1202,99,99,1,24,3,3,5,9,1,1,69,99,2008,4,1
3652,2021,19,0,1,1,4,1,12,1202,99,99,1,23,3,3,5,9,1,4,32,5,9999,99,1
3653,2021,19,18,4,3,4,1,13,1320,99,99,1,25,4,4,6,9,1,6,19,99,2000,4,1
3654,2021,19,18,4,3,4,1,13,1320,99,99,1,35,6,6,8,9,1,3,69,99,9999,99,1
3655,2021,19,13,3,2,4,1,2,207,99,99,1,60,11,11,13,9,1,4,999,99,9999,99,6
3656,2021,19,18,4,3,4,1,17,1709,99,99,1,26,4,4,6,9,1,3,69,99,9999,99,3
3657,2021,19,19,4,3,4,1,7,705,99,99,1,47,8,8,10,9,1,5,30,2,1994,3,1
3658,2021,19,19,4,3,4,1,7,705,99,99,9,999,16,12,18,9,9,3,69,1,9999,99,1
3659,2021,19,1,1,1,4,1,4,401,1,99,1,29,4,4,6,9,1,1,52,4,2010,5,1
3660,2021,19,1,1,1,4,1,4,401,1,99,1,46,8,8,10,9,1,3,41,2,2005,4,1
3661,2021,19,1,1,1,4,1,4,401,1,99,1,42,7,7,9,9,1,9,28,4,2012,5,1
3662,2021,19,7,2,1,4,1,3,305,99,99,9,999,16,12,18,9,9,12,999,99,9999,99,1
3663,2021,19,7,2,1,4,1,3,305,99,99,1,28,4,4,6,9,1,4,999,99,9999,99,1
3664,2021,20,21,4,3,4,2,1,106,99,99,1,20,3,3,5,9,1,4,3,5,2016,5,1
3665,2021,20,21,4,3,4,2,1,106,99,99,1,33,5,5,7,9,1,4,6,3,2017,5,1
3666,2021,20,15,3,2,4,2,1,103,99,99,1,31,5,5,7,9,1,3,56,2,9999,99,7
3667,2021,20,15,3,2,4,2,1,101,7,7,1,23,3,3,5,9,1,4,32,4,2009,4,1
3668,2021,20,15,3,2,4,2,1,101,7,7,2,40,7,7,9,9,1,2,56,2,2017,5,1
3669,2021,20,16,3,2,4,2,1,101,11,11,1,26,4,4,6,9,1,4,76,3,2009,4,1
3670,2021,20,16,3,2,4,2,1,101,11,11,1,52,9,9,11,9,1,2,52,4,2006,4,1
3671,2021,20,17,3,2,4,2,1,117,4,99,1,27,4,4,6,9,1,3,91,1,2008,4,1
3672,2021,20,17,3,2,4,2,1,117,4,99,1,21,3,3,5,9,1,4,32,3,2017,5,1
3673,2021,20,20,4,3,4,2,1,108,1,99,9,999,16,12,18,9,9,12,30,3,2000,4,2
3674,2021,20,18,4,3,4,2,21,2106,99,99,1,64,11,11,13,1,1,1,56,9,9999,99,1
3675,2021,20,18,4,3,4,2,21,2106,99,99,1,999,16,12,18,9,9,1,48,2,9999,99,1
3676,2021,20,18,4,3,4,2,9,920,99,99,1,44,7,7,9,9,1,12,52,2,9999,99,1
3677,2021,20,18,4,3,4,2,9,920,99,99,1,33,5,5,7,9,1,4,32,1,2017,5,1
3678,2021,20,7,2,1,4,2,13,1301,5,99,1,38,6,6,8,9,1,5,26,2,2005,4,1
3679,2021,20,7,2,1,4,2,13,1301,5,99,1,20,3,3,5,9,1,4,6,1,9999,99,1
3680,2021,20,17,3,2,4,2,16,1608,99,99,1,30,5,5,7,9,1,5,26,3,9999,99,7
3681,2021,20,20,4,3,4,2,16,1601,99,99,1,46,8,8,10,9,1,5,19,2,1997,3,1
3682,2021,20,20,4,3,4,2,16,1601,99,99,1,30,5,5,7,9,1,1,999,2,9999,99,1
3683,2021,20,21,4,3,4,2,16,1616,99,99,1,32,5,5,7,9,1,3,69,11,1986,2,1
3684,2021,20,21,4,3,4,2,16,1616,99,99,1,36,6,6,8,9,1,14,2,1,2019,5,1
3685,2021,20,18,4,3,4,2,2,207,99,99,1,48,8,8,10,9,1,4,6,5,9999,99,6
3686,2021,20,18,4,3,4,2,18,1805,99,99,2,20,3,3,5,9,1,4,67,4,9999,99,1
3687,2021,20,18,4,3,4,2,18,1805,99,99,1,999,16,12,18,9,9,4,67,5,9999,99,1
3688,2021,20,12,3,2,4,2,3,312,3,99,1,27,4,4,6,1,1,1,999,99,9999,99,1
3689,2021,20,12,3,2,4,2,3,312,3,99,1,18,2,2,4,9,1,4,32,3,9999,99,1
3690,2021,20,14,3,2,4,2,3,303,99,99,1,23,3,3,5,9,1,1,27,99,9999,99,1
3691,2021,20,14,3,2,4,2,3,303,99,99,1,25,4,4,6,9,1,4,76,1,9999,99,1
3692,2021,20,16,3,2,4,2,3,304,99,99,1,19,2,2,4,9,1,3,128,99,9999,99,1
3693,2021,20,16,3,2,4,2,3,304,99,99,1,23,3,3,5,9,1,1,27,99,9999,99,1
3694,2021,21,15,3,2,4,3,1,116,99,99,1,25,4,4,6,9,1,4,999,99,9999,99,6
3695,2021,21,22,4,3,4,3,1,117,10,99,1,38,6,6,8,9,1,4,27,1,9999,99,1
3696,2021,21,22,4,3,4,3,1,117,10,99,1,41,7,7,9,1,1,6,19,1,9999,99,1
3697,2021,21,21,4,3,4,3,10,1003,99,99,1,43,7,7,9,9,1,1,48,11,9999,99,1
3698,2021,21,21,4,3,4,3,10,1003,99,99,1,53,9,9,11,9,1,5,50,7,9999,99,1
3699,2021,21,21,4,3,4,3,10,1003,99,99,1,48,8,8,10,9,1,1,69,2,9999,99,1
3700,2021,21,23,4,3,4,3,7,710,99,99,1,48,8,8,10,2,1,1,69,4,9999,99,1
3701,2021,21,23,4,3,4,3,7,710,99,99,1,999,16,12,18,1,9,1,48,5,9999,99,1
3702,2021,21,16,3,2,4,3,7,701,99,99,1,26,4,4,6,1,1,2,69,4,9999,99,1
3703,2021,21,16,3,2,4,3,7,701,99,99,1,31,5,5,7,9,1,5,28,2,9999,99,1
3704,2021,21,8,2,1,4,3,9,910,99,99,9,999,16,12,18,9,9,6,999,99,9999,99,1
3705,2021,21,8,2,1,4,3,9,910,99,99,1,999,16,12,18,9,9,3,999,99,9999,99,1
3706,2021,21,7,2,1,4,3,12,1215,99,99,1,32,5,5,7,9,1,4,67,4,9999,99,1
3707,2021,21,7,2,1,4,3,12,1215,99,99,9,999,16,12,18,9,9,1,999,99,9999,99,1
3708,2021,21,14,3,2,4,3,16,1607,99,99,1,999,16,12,18,9,9,4,76,5,9999,99,2
3709,2021,21,14,3,2,4,3,16,1607,99,99,1,999,16,12,18,9,9,22,6,1,9999,99,2
3710,2021,21,20,4,3,4,3,15,1501,99,99,1,45,8,8,10,9,1,1,69,5,9999,99,1
3711,2021,21,20,4,3,4,3,15,1501,99,99,1,44,7,7,9,9,1,1,69,1,9999,99,1
3712,2021,21,6,2,1,4,3,15,1504,99,99,1,999,16,12,18,9,9,3,69,99,9999,99,2
3713,2021,22,17,3,2,4,4,19,1903,99,99,1,36,6,6,8,2,1,1,48,6,1999,3,1
3714,2021,22,17,3,2,4,4,19,1903,99,99,1,38,6,6,8,9,1,6,19,11,2000,4,1
3715,2021,22,16,3,2,4,4,5,502,99,99,1,42,7,7,9,1,1,6,19,15,2003,4,1
3716,2021,22,16,3,2,4,4,5,502,99,99,1,19,2,2,4,1,1,1,48,99,9999,99,1
3717,2021,22,16,3,2,4,4,5,502,99,99,1,32,5,5,7,1,1,4,27,2,9999,99,1
3718,2021,22,13,3,2,4,4,12,1215,99,99,1,999,16,12,18,1,9,3,999,99,9999,99,1
3719,2021,22,13,3,2,4,4,12,1215,99,99,1,59,10,10,12,1,1,4,999,99,9999,99,1
3720,2021,22,0,1,1,4,4,13,1301,5,99,1,67,12,11,14,1,1,2,41,6,9999,99,1
3721,2021,22,0,1,1,4,4,13,1301,5,99,1,18,2,2,4,1,1,4,6,3,2016,5,1
3722,2021,22,8,2,1,4,4,2,203,99,99,1,19,2,2,4,1,1,4,6,5,9999,99,6
3723,2021,22,18,4,3,4,4,18,1803,99,99,1,28,4,4,6,2,1,3,69,4,2015,5,6
3724,2021,22,8,2,1,4,4,1,104,99,99,1,29,4,4,6,9,1,4,6,1,2021,6,1
3725,2021,22,8,2,1,4,4,1,104,99,99,1,35,6,6,8,9,1,14,6,1,2015,5,1
3726,2021,22,17,3,2,4,4,1,101,18,18,1,999,16,12,18,9,9,1,69,99,2018,5,1
3727,2021,22,17,3,2,4,4,1,101,18,18,2,999,16,12,18,9,9,4,3,99,2020,6,1
3728,2021,22,11,2,1,4,4,1,101,12,12,1,51,9,9,11,9,1,4,96,4,2005,4,1
3729,2021,22,11,2,1,4,4,1,101,12,12,1,51,9,9,11,9,1,1,52,3,2015,5,1
3730,2021,22,11,2,1,4,4,1,101,10,10,1,35,6,6,8,9,1,11,56,2,2020,6,1
3731,2021,22,11,2,1,4,4,1,101,10,10,2,23,3,3,5,9,1,4,18,5,9999,99,1
3732,2021,23,15,3,2,4,5,1,101,4,4,2,38,6,6,8,9,1,1,69,2,2009,4,1
3733,2021,23,15,3,2,4,5,1,101,4,4,1,21,3,3,5,9,1,4,32,1,2019,5,1
3734,2021,23,9,2,1,4,5,1,101,6,6,1,29,4,4,6,1,1,4,999,99,9999,99,1
3735,2021,23,9,2,1,4,5,1,101,6,6,9,999,16,12,18,9,9,1,999,99,9999,99,1
3736,2021,23,1,1,1,4,5,1,101,7,7,1,48,8,8,10,9,1,1,66,4,1991,3,1
3737,2021,23,6,2,1,4,5,1,114,99,99,1,999,16,12,18,9,9,5,50,99,9999,99,1
3738,2021,23,6,2,1,4,5,1,114,99,99,1,35,6,6,8,9,1,5,26,2,9999,99,1
3739,2021,23,4,1,1,4,5,1,115,1,99,1,999,16,12,18,9,9,1,999,99,9999,99,1
3740,2021,23,4,1,1,4,5,1,115,1,99,1,999,16,12,18,9,9,4,76,5,9999,99,1
3741,2021,23,15,3,2,4,5,1,115,99,99,1,35,6,6,8,1,1,6,30,7,9999,99,1
3742,2021,23,15,3,2,4,5,1,115,99,99,2,33,5,5,7,1,1,4,100,5,2016,5,1
3743,2021,23,17,3,2,4,5,1,117,7,99,2,999,16,12,18,1,9,1,48,4,9999,99,1
3744,2021,23,17,3,2,4,5,1,117,7,99,2,999,16,12,18,1,9,4,27,5,9999,99,1
3745,2021,23,18,4,3,4,5,5,501,3,99,1,29,4,4,6,1,1,2,69,2,2005,4,1
3746,2021,23,18,4,3,4,5,5,501,3,99,1,35,6,6,8,1,1,4,6,5,9999,99,1
3747,2021,23,14,3,2,4,5,9,901,7,99,2,999,16,12,18,9,9,1,48,2,9999,99,1
3748,2021,23,14,3,2,4,5,9,901,7,99,9,999,16,12,18,9,9,5,999,99,9999,99,1
3749,2021,23,10,2,1,4,5,15,1508,99,99,1,21,3,3,5,1,1,4,67,4,9999,99,1
3750,2021,23,10,2,1,4,5,15,1508,99,99,1,26,4,4,6,1,1,4,32,1,9999,99,1
3751,2021,24,20,4,3,4,6,11,1103,99,99,1,37,6,6,8,1,1,4,6,5,9999,99,1
3752,2021,24,20,4,3,4,6,11,1103,99,99,1,22,3,3,5,1,1,4,999,5,9999,99,1
3753,2021,24,16,3,2,4,6,2,201,99,99,1,24,3,3,5,2,1,4,32,5,9999,99,1
3754,2021,24,16,3,2,4,6,2,201,99,99,1,38,6,6,8,1,1,11,69,2,2006,4,1
3755,2021,24,16,3,2,4,6,2,201,99,99,1,16,2,2,4,1,2,2,52,2,9999,99,1
3756,2021,24,16,3,2,4,6,17,1714,99,99,1,56,10,10,12,9,1,6,999,99,9999,99,1
3757,2021,24,16,3,2,4,6,17,1714,99,99,1,57,10,10,12,9,1,4,999,99,9999,99,1
3758,2021,24,19,4,3,4,6,17,1703,99,99,1,23,3,3,5,9,1,4,32,1,9999,99,1
