num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
99,2021,6,20,4,3,1,3,1,101,1,1,2,25,4,4,6,1,4,3,5,2019,5,1,2,1
100,2021,6,20,4,3,1,3,1,101,12,12,1,26,4,4,6,1,4,46,1,2018,5,1,2,1
101,2021,6,16,3,2,1,3,1,115,12,99,1,25,4,4,6,1,4,3,5,9999,99,1,2,1
102,2021,6,21,4,3,1,3,1,114,99,99,2,39,6,6,8,1,4,54,1,2018,5,1,2,1
103,2021,6,0,1,1,1,3,9,901,1,99,2,69,12,11,14,1,2,69,9,9999,99,1,2,1
104,2021,6,13,3,2,1,3,12,1202,99,99,1,50,9,9,11,1,2,48,11,9999,99,2,2,1
105,2021,6,13,3,2,1,3,12,1202,99,99,1,67,12,11,14,1,2,48,11,9999,99,2,2,1
106,2021,6,23,4,3,1,3,1,117,7,99,1,24,3,3,5,1,4,999,99,9999,99,1,2,1
107,2021,6,21,4,3,1,3,18,1802,99,99,1,35,6,6,8,1,4,76,99,9999,99,2,2,1
108,2021,6,21,4,3,1,3,18,1802,99,99,1,40,7,7,9,1,4,76,99,9999,99,2,2,1
109,2021,7,9,2,1,1,4,1,107,99,99,1,40,7,7,9,1,5,31,2,9999,99,1,2,1
110,2021,7,18,4,3,1,4,1,102,99,99,1,25,4,4,6,1,4,3,4,9999,99,1,2,1
111,2021,7,21,4,3,1,4,1,101,11,11,1,28,4,4,6,1,4,54,1,9999,99,1,2,1
112,2021,7,1,1,1,1,4,1,101,7,7,1,33,5,5,7,1,4,6,3,2016,5,2,1,2
113,2021,7,11,2,1,1,4,1,117,7,99,1,999,16,12,18,9,4,6,3,9999,99,1,2,1
114,2021,7,11,2,1,1,4,1,117,7,99,1,59,10,10,12,1,1,56,4,9999,99,1,2,1
115,2021,7,11,2,1,1,4,1,115,5,99,1,999,16,12,18,9,4,999,99,9999,99,1,2,1
116,2021,7,19,4,3,1,4,1,115,1,99,1,41,7,7,9,1,4,6,5,9999,99,6,2,1
117,2021,7,19,4,3,1,4,1,115,1,99,2,41,7,7,9,1,4,6,5,9999,99,6,2,1
118,2021,7,8,2,1,1,4,1,108,6,99,1,999,16,12,18,9,4,67,3,9999,99,6,1,2
119,2021,7,8,2,1,1,4,1,108,6,99,2,22,3,3,5,1,4,67,3,9999,99,6,2,1
120,2021,7,11,2,1,1,4,1,115,8,99,1,12,1,1,3,2,4,999,99,9999,99,6,2,1
121,2021,7,23,4,3,1,4,1,108,6,99,1,999,16,12,18,9,4,67,5,9999,99,1,2,1
