num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,zona_ciudad,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
137,2021,10,21,4,3,1,7,1,115,10,99,4,27,99,2017,5,1
138,2021,10,21,4,3,1,7,1,108,4,99,1,27,1,9999,99,1
139,2021,10,2,1,1,1,7,22,2201,99,99,1,69,11,9999,99,2
140,2021,10,19,4,3,1,7,21,2101,99,99,4,64,5,2018,5,6
141,2021,10,21,4,3,1,7,20,2001,99,99,2,999,99,9999,99,1
142,2021,10,11,2,1,1,7,20,2001,99,99,4,67,1,9999,99,1
143,2021,10,23,4,3,1,7,20,2002,99,99,2,69,99,9999,99,1
144,2021,10,7,2,1,1,7,5,512,99,99,7,19,7,2002,4,3
145,2021,10,17,3,2,1,7,10,1008,99,99,14,6,1,2014,5,2
146,2021,10,0,1,1,1,7,9,902,1,99,1,999,99,9999,99,2
147,2021,10,19,4,3,1,7,12,1201,5,99,1,999,99,9999,99,1
148,2021,10,21,4,3,1,7,16,1609,99,99,1,52,5,9999,99,2
149,2021,10,7,2,1,1,7,15,1504,99,99,4,76,3,9999,99,1
150,2021,10,18,4,3,1,7,2,208,99,99,3,56,9,9999,99,3
151,2021,10,8,2,1,1,7,18,1801,99,99,1,69,11,2021,6,1
152,2021,10,16,3,2,1,7,3,301,99,99,4,32,5,2019,5,6
153,2021,10,20,4,3,1,7,6,609,99,99,3,999,99,9999,99,1
154,2021,11,17,3,2,1,1,1,103,99,99,1,27,1,1991,3,1
155,2021,11,7,2,1,1,1,1,101,12,12,4,6,3,2016,5,1
156,2021,11,19,4,3,1,1,1,101,11,11,1,52,9,2018,5,1
157,2021,11,13,3,2,1,1,1,117,7,99,4,76,5,9999,99,1
158,2021,11,16,3,2,1,1,1,114,99,99,5,30,99,9999,99,1
159,2021,11,18,4,3,1,1,19,1904,99,99,4,67,5,2015,5,6
160,2021,11,0,1,1,1,1,5,511,99,99,6,19,2,1997,3,1
161,2021,11,5,1,1,1,1,6,602,99,99,4,6,5,9999,99,1
162,2021,11,19,4,3,1,1,11,1104,99,99,4,2,3,9999,99,1
163,2021,11,12,3,2,1,1,9,901,99,99,4,76,3,2020,6,1
164,2021,11,12,3,2,1,1,16,1607,99,99,3,69,5,9999,99,2
165,2021,11,21,4,3,1,1,2,207,99,99,3,69,4,9999,99,1
166,2021,11,17,3,2,1,1,14,1412,99,99,3,48,3,2014,5,1
167,2021,11,6,2,1,1,1,3,314,99,99,3,17,6,1993,3,1
168,2021,12,9,2,1,1,2,1,101,1,1,4,87,2,2019,5,1
169,2021,12,10,2,1,1,2,1,101,3,3,4,76,2,9999,99,6
170,2021,12,18,4,3,1,2,1,101,11,11,6,19,2,2002,4,1
171,2021,12,21,4,3,1,2,1,101,7,7,4,999,99,9999,99,1
172,2021,12,12,3,2,1,2,1,116,1,99,9,10,2,9999,99,1
173,2021,12,18,4,3,1,2,5,503,99,99,6,19,2,2002,4,1
174,2021,12,21,4,3,1,2,6,602,99,99,8,67,2,9999,99,1
175,2021,12,20,4,3,1,2,10,1001,99,99,1,69,6,1995,3,2
176,2021,12,23,4,3,1,2,11,1108,99,99,4,67,5,9999,99,2
177,2021,12,17,3,2,1,2,13,1328,99,99,3,69,2,9999,99,2
178,2021,12,11,2,1,1,2,16,1609,99,99,3,48,1,1992,3,1
179,2021,12,21,4,3,1,2,17,1703,99,99,1,41,4,9999,99,1
180,2021,12,15,3,2,1,2,4,409,99,99,4,999,99,9999,99,1
181,2021,13,16,3,2,1,3,1,101,1,1,4,32,1,2017,5,1
182,2021,13,12,3,2,1,3,1,101,25,25,6,30,2,2009,4,2
183,2021,13,22,4,3,1,3,1,101,6,6,1,48,4,2006,4,1
184,2021,13,7,2,1,1,3,1,114,99,99,2,17,99,2005,4,1
185,2021,13,20,4,3,1,3,1,116,1,99,4,67,4,9999,99,1
186,2021,13,7,2,1,1,3,1,108,7,99,14,999,99,9999,99,6
187,2021,13,6,2,1,1,3,9,916,99,99,4,67,1,9999,99,1
188,2021,13,0,1,1,1,3,2,204,99,99,6,19,99,1999,3,1
189,2021,13,7,2,1,1,3,17,1710,99,99,4,999,99,9999,99,6
190,2021,13,0,1,1,1,3,14,1401,99,99,4,190,3,9999,99,1
191,2021,14,11,2,1,1,4,1,101,6,6,2,10,4,2007,4,1
192,2021,14,12,3,2,1,4,22,2217,99,99,2,27,2,9999,99,1
193,2021,14,0,1,1,1,4,10,1001,2,99,5,31,2,9999,99,1
194,2021,14,23,4,3,1,4,10,1015,99,99,6,30,2,2000,4,1
195,2021,14,21,4,3,1,4,12,1215,99,99,3,999,99,9999,99,1
196,2021,14,12,3,2,1,4,16,1612,99,99,5,41,2,2020,6,1
197,2021,14,23,4,3,1,4,2,203,99,99,99,999,99,9999,99,1
198,2021,14,1,1,1,1,4,18,1801,99,99,6,19,2,2000,4,1
199,2021,15,15,3,2,1,5,1,101,3,3,1,27,4,2013,5,1
200,2021,15,15,3,2,1,5,1,102,99,99,9,56,3,1995,3,1
201,2021,15,20,4,3,1,5,1,101,7,7,1,27,6,9999,99,1
202,2021,15,7,2,1,1,5,1,115,2,99,4,27,5,9999,99,1
203,2021,15,19,4,3,1,5,22,2202,99,99,4,67,1,9999,99,1
204,2021,15,11,2,1,1,5,20,2008,99,99,3,999,99,9999,99,1
205,2021,15,20,4,3,1,5,5,508,99,99,2,67,4,2002,4,1
206,2021,15,23,4,3,1,5,6,602,99,99,9,69,2,9999,99,1
207,2021,15,11,2,1,1,5,10,1021,99,99,2,27,4,2001,4,1
208,2021,15,17,3,2,1,5,11,1107,99,99,3,69,6,1992,3,1
209,2021,15,16,3,2,1,5,9,920,99,99,5,30,11,1996,3,1
210,2021,15,19,4,3,1,5,2,207,99,99,2,48,99,9999,99,1
211,2021,16,21,4,3,1,6,1,101,18,18,1,27,6,1999,3,1
212,2021,16,6,2,1,1,6,1,101,13,13,99,999,99,9999,99,1
213,2021,16,7,2,1,1,6,1,115,99,99,1,27,4,9999,99,1
